Airport Code,Airport Name,Airport City,Airport Country,Deals (From),Deals (To),SkyID,City Image
PMO,Falcone–Borsellino Airport,Palermo,Italy,,,PMO,https://content.skyscnr.com/f348d79cfdf70286dc759d24618a23c3/GettyImages-182281845.jpg
ANR,Antwerp International Airport,Antwerp,Belgium,,,ANR,https://content.skyscnr.com/e0241c97c2b33b71e9c278bc89bb17ed/GettyImages-178640523.jpg
LNZ,Linz Airport,Linz,Austria,,,LNZ,https://content.skyscnr.com/f348d79cfdf70286dc759d24618a23c3/GettyImages-182281845.jpg
OSL,Oslo Airport,Oslo,Norway,,,OSL,https://content.skyscnr.com/3d9991cce5c6c4933f8ec0969785cc4c/GettyImages-100590065.jpg
MJT,Mytilene International Airport,Mytilene,Greece,,,MJT,https://content.skyscnr.com/26babb582bc1d7572fed1877d7f81fa6/GettyImages-181391203.jpg
CLJ,Cluj-Napoca International Airport,Cluj-Napoca,Romania,,,CLJ,https://content.skyscnr.com/f348d79cfdf70286dc759d24618a23c3/GettyImages-182281845.jpg
LAS,Harry Reid International Airport,Las Vegas,United States,,,LAS,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
GIG,Rio de Janeiro/Galeão International Airport,Rio de Janeiro,Brazil,,,GIG,https://content.skyscnr.com/69907554dc47aab9e74edf172e01fb44/GettyImages-516984709.jpg
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,Argentina,,,MDZ,https://content.skyscnr.com/e2ef29b11c3586421a32b14b9951b01c/gettyimages-673156625.jpg
FUK,Fukuoka Airport,Fukuoka,Japan,,,FUK,https://content.skyscnr.com/dd114ccd4424789005cbd0f6cd8881e1/GettyImages-131906563.jpg
PEK,Beijing Capital International Airport,Beijing,China,,,PEK,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
PKX,Beijing Daxing International Airport,Beijing,China,,,PKX,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
SHA,Shanghai Hongqiao International Airport,Shanghai,China,,,RZV,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,,,HGH,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
WUH,Wuhan Tianhe International Airport,Wuhan,China,,,RZV,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
HKG,Hong Kong International Airport,Hong Kong,Hong Kong,,,HKG,https://content.skyscnr.com/4256a18a3673a5f3926fc37bb2b80beb/GettyImages-517678055.jpg
DMM,King Fahd International Airport,Dammam,Saudi Arabia,,,DMM,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
MRU,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Mauritius,,,MRU,https://content.skyscnr.com/afeafa38f5fb83923c9c58f78bdc195c/GettyImages-185526100.jpg
LFW,Lomé–Tokoin International Airport,Lomé,Togo,,,LFW,https://content.skyscnr.com/5e4a1d8925d4eb1e09b6e67944054d51/GettyImages-480145073.jpg
